transactionDate,assetDescription,readyTime,readyTimeUOM,CO2eFactor,engineIdleAFC,dieselSavedVolume,dieselSavedVolumeUOM,dieselRate,dieselRateUOM,dieselSavedCost,CO2eReduction,CO2eReductionUOM,chargeAmount,currency
2022-06-05T00:00:00.000Z,Pump_14,7.6,hour,10.21 kg/gal,12.00 gal/hr,91.2,gal,5.49,USD / gal,499.78,931.15,kg,198.59,USD
2022-06-05T00:00:00.000Z,Pump_15,9.3,hour,10.21 kg/gal,12.00 gal/hr,111.6,gal,5.49,USD / gal,645.05,1139.44,kg,227.64,USD
2022-06-05T00:00:00.000Z,Pump_16,7.8,hour,10.21 kg/gal,12.00 gal/hr,93.6,gal,5.49,USD / gal,517.61,955.66,kg,202.15,USD
2022-06-05T00:00:00.000Z,Pump_17,7.6,hour,10.21 kg/gal,12.00 gal/hr,91.2,gal,5.49,USD / gal,506.16,931.15,kg,199.86,USD
2022-06-05T00:00:00.000Z,Pump_18,6.2,hour,10.21 kg/gal,12.00 gal/hr,74.4,gal,5.49,USD / gal,434.5,759.62,kg,185.53,USD
2022-06-05T00:00:00.000Z,Pump_19,9,hour,10.21 kg/gal,12.00 gal/hr,108,gal,5.49,USD / gal,591.84,1102.68,kg,217,USD
2022-06-05T00:00:00.000Z,Pump_20,10,hour,10.21 kg/gal,12.00 gal/hr,120,gal,5.49,USD / gal,686.4,1225.2,kg,235.91,USD
2022-06-06T00:00:00.000Z,Pump_1,8.2,hour,10.21 kg/gal,15.06 gal/hr,123.49,gal,5.61,USD / gal,676.74,1260.85,kg,233.98,USD
2022-06-06T00:00:00.000Z,Pump_2,6,hour,10.21 kg/gal,15.06 gal/hr,90.36,gal,5.61,USD / gal,502.4,922.58,kg,199.11,USD
2022-06-06T00:00:00.000Z,Pump_3,9.4,hour,10.21 kg/gal,15.06 gal/hr,141.56,gal,5.61,USD / gal,765.86,1445.37,kg,251.8,USD
2022-06-06T00:00:00.000Z,Pump_4,10.3,hour,10.21 kg/gal,15.06 gal/hr,155.12,gal,5.61,USD / gal,901.24,1583.75,kg,278.88,USD
2022-06-06T00:00:00.000Z,Pump_5,6.7,hour,10.21 kg/gal,15.06 gal/hr,100.9,gal,5.61,USD / gal,555.97,1030.21,kg,209.82,USD
2022-06-06T00:00:00.000Z,Pump_6,7.9,hour,10.21 kg/gal,15.06 gal/hr,118.97,gal,5.61,USD / gal,646.03,1214.72,kg,227.84,USD
2022-06-06T00:00:00.000Z,Pump_7,8.6,hour,10.21 kg/gal,15.06 gal/hr,129.52,gal,5.61,USD / gal,762.85,1322.36,kg,251.2,USD
2022-06-06T00:00:00.000Z,Pump_8,9.9,hour,10.21 kg/gal,15.06 gal/hr,149.09,gal,5.61,USD / gal,830.45,1522.25,kg,264.72,USD
